SMILES,MW,HBA,HBD,LogP,Valid,Error
O=COC(C)(O)C,104.047344116,3,1,-0.11220000000000002,True,False
C=COC(C)(O)O,104.047344116,3,2,-0.19520000000000004,True,False
O=CCC(C)(O)O,104.047344116,3,2,-0.7238,True,False
OC=CC(C)(O)O,104.047344116,3,3,-0.24110000000000004,True,False
C=CCC(O)(O)O,104.047344116,3,3,-0.8068,True,False
CC=CC(O)(O)O,104.047344116,3,3,-0.8068,True,False
OC(=O)C(C)(O)C,104.047344116,2,2,-0.15810000000000013,True,False
CC(=O)C(C)(O)O,104.047344116,3,2,-0.7238,True,False
C=C(O)C(C)(O)O,104.047344116,3,3,-0.24110000000000004,True,False
CC(=C)C(O)(O)O,104.047344116,3,3,-0.8068,True,False
CC(O)OC(=O)C,104.047344116,3,1,-0.11220000000000013,True,False
CC(O)OC(O)=C,104.047344116,3,2,0.37049999999999994,True,False
CC(C)OC(=O)O,104.047344116,2,1,1.0894,True,False
CC(=C)OC(O)O,104.047344116,3,2,-0.19519999999999998,True,False
CC(O)CC(=O)O,104.047344116,2,2,-0.15809999999999996,True,False
CC(O)C=C(O)O,104.047344116,3,3,0.32459999999999994,True,False
CC(=O)CC(O)O,104.047344116,3,2,-0.7238,True,False
C=C(O)CC(O)O,104.047344116,3,3,-0.24110000000000004,True,False
CC(O)=CC(O)O,104.047344116,3,3,-0.24110000000000004,True,False
OC1OC(O1)(C)C,104.04734411599999,3,1,0.04519999999999991,True,False
CC1OC(O1)(O)C,104.047344116,3,1,0.04519999999999996,True,False
OC1OC(C1)(O)C,104.047344116,3,2,-0.5664,True,False
CC1OC(C1)(O)O,104.047344116,3,2,-0.5664,True,False
OC1CC(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False
CC1(O)C(O1)(O)C,104.047344116,3,2,-0.5664,True,False
CC1(C)C(O1)(O)O,104.047344116,3,2,-0.5664,True,False
CC1(O)C(C1)(O)O,104.047344116,3,3,-1.1780000000000002,True,False
OC(C=C)(O)OC,104.047344116,3,2,-0.5428000000000002,True,False
CC(OC)(O)C=O,104.047344116,3,1,-0.4598,True,False
CC(C=C)(O)OO,104.047344116,3,2,0.37049999999999994,True,False
OC(CC)(O)C=O,104.047344116,3,2,-0.7238000000000002,True,False
OC(C=C)(O)CO,104.047344116,3,3,-1.1544,True,False
CC(C=O)(C)OO,104.047344116,3,1,0.45349999999999996,True,False
CC(CO)(O)C=O,104.047344116,3,2,-1.0714000000000001,True,False
CC(=O)OCOC,104.047344116,3,0,0.15339999999999998,True,False
C=C(O)OCOC,104.047344116,3,1,0.6360999999999999,True,False
OC(=O)CCOC,104.047344116,2,1,0.10750000000000015,True,False
OC(O)=CCOC,104.047344116,3,2,0.5902,True,False
OC(O)C=COC,104.047344116,3,2,-0.5428000000000002,True,False
OC(=O)OCCC,104.04734411599999,2,1,1.091,True,False
OC(O)OC=CC,104.04734411599999,3,2,-0.19520000000000004,True,False
OC(O)OCC=C,104.04734411599999,3,2,-0.5428000000000002,True,False
CC(=C)OCOO,104.047344116,3,1,0.9837,True,False
CC(=O)CCOO,104.047344116,3,1,0.4551,True,False
C=C(O)CCOO,104.047344116,3,2,0.9378,True,False
CC(O)=CCOO,104.047344116,3,2,0.9378,True,False
CC(O)C=COO,104.047344116,3,2,0.37049999999999994,True,False
CC(=O)OCCO,104.047344116,3,1,-0.4581999999999999,True,False
