Fragment,Count
[3*]OO,95
[3*]OC,57
[8*]CO,37
[13*]C1OO1,19
[3*]OC=O,14
[3*]O[3*],14
[4*]C[8*],13
[13*]C1CO1,12
[3*]OCO,12
[4*]CC,12
[3*]OOC,12
[3*]OOO,12
[3*]OC=C,10
[7*]CC,10
[8*]CC,9
[15*]C1C=C1,7
[8*]C(O)O,7
[6*]C(=O)O,6
[1*]C(C)=O,6
[4*]CC=O,6
[15*]C1CC1,6
[8*]CC=O,5
[6*]C(C)=O,5
[7*]CCO,5
[7*]C(C)O,5
[3*]OC#C,5
[13*]C1OC1=C,4
[1*]C(=O)O,4
[13*]C12OC1O2,4
[13*]C12CC1O2,4
[4*]CCO,4
[13*]C1OC1=O,4
[15*]C1C2OC12,4
[4*]C(C)O,4
[15*]C12CC1O2,4
[15*]C1(O)C=C1,4
[7*]C[8*],4
[15*]C1C=C1O,4
[15*]C1CC1=O,4
[7*]C1CO1,4
[14*]c1coo1,4
[13*]C1C=CO1,4
[7*]CC=O,4
[4*]CC#C,4
[3*]OC=CO,3
[15*]C1COC1,3
[15*]C1CC1O,3
[13*]C1COO1,3
[8*]CCO,3
[3*]OC(=C)O,3
[13*]C1(O)OO1,3
[8*]C(C)O,3
[13*]C1OC1O,3
[4*]CC=C,3
[3*]OOC=C,3
[13*]C1(C)OO1,3
[13*]C1(O)CO1,3
[15*]C1(O)CC1,3
[13*]C1OCO1,3
[13*]C1OOO1,3
[3*]OC(=C)C,2
[15*]C1(O)C2OC21,2
[15*]C12COC1O2,2
[13*]C12CC1OO2,2
[15*]C12CC1OO2,2
[13*]C12OC1C2O,2
[13*]C1(C=O)CO1,2
[15*]C1([15*])C=C1,2
[4*]CC#CO,2
[4*]CC=C=O,2
[4*]CC[7*],2
[3*]OOOC,2
[3*]OCOO,2
[13*]C1(C=C)OO1,2
[3*]OOCO,2
[7*]CC(O)O,2
[3*]OC(O)O,2
[13*]C1OC=C1O,2
[13*]C1OCC1=O,2
[14*]c1ooc1C,2
[13*]C1OOC1=C,2
[3*]OOC=O,2
[15*]C1C=C1OO,2
[15*]C1COC1=O,2
[13*]C1OC=CO1,2
[3*]OOC#C,2
[15*]C1C(O)=C1O,2
[15*]C1C(=O)C1O,2
[15*]C1CC12OO2,2
[13*]C12COC1O2,2
[3*]OC=C=O,2
[3*]OC#CO,2
[13*]C12OCC1O2,2
[4*]CC1=CO1,2
[1*]C([6*])=O,2
[13*]C1C=COO1,2
[13*]C1OC1=CO,2
[13*]C1OC1C=O,2
[3*]OC=CC,2
[15*]C1C2OC1O2,2
[7*]CC(=O)O,2
[13*]C1OC2OC12,2
[15*]C12OC1C2O,2
[13*]C1OC12CO2,2
[15*]C12CC1(O)O2,2
[13*]C1OC(=C)O1,2
[15*]C1C2OC12O,2
[7*]C1OC1O,2
[13*]C1OC1C,2
[13*]C1CCO1,2
[7*]C1COO1,2
[13*]C12OC1(C)O2,2
[13*]C12CC1(O)O2,2
[3*]OC1=CO1,2
[13*]C1CC(=O)O1,2
[13*]C1C=C(O)O1,2
[13*]C12CC(O1)O2,2
[15*]C1(O)CC1=O,2
[7*]C(C)OO,2
[13*]C1(O)OC1=C,2
[15*]C1(O)C=C1O,2
[13*]C1(C)OC1=O,2
[13*]C1(O)C=CO1,2
[4*]C(O)C#C,2
[1*]C(=O)C=C,2
[8*]CC=C,2
[13*]C1(C)CO1,2
[7*]C(O)CO,2
[7*]C(O)C=O,2
[15*]C1C2OOC12,2
C=C(O)OC(=C)O,1
CC(O)(O)C#CO,1
C=C=CC(O)(O)O,1
C#CCC(O)(O)O,1
CC#CC(O)(O)O,1
OC1OC2C(O)C12,1
[15*]C1C2COC12,1
OC1C2COOC12,1
C1=COCOOC1,1
C1=COOCOC1,1
C1=COCOCO1,1
[4*]C(C)(O)C#C,1
C=CC(O)(O)C=O,1
C#CC(O)(O)CO,1
CC(O)(C=O)C=O,1
COC=CC(=O)O,1
COC=C=C(O)O,1
COC#CC(O)O,1
C1OOOC2CC12,1
C1OOC2CC2O1,1
C1OCC2OC2O1,1
C1CC2OOOC12,1
C1OCC2OOC12,1
C1OOC2COC12,1
O=C=CC(O)CO,1
O=CCC(O)C=O,1
O=CC(O)C=CO,1
OC#CC(O)CO,1
C=CC(=C)OOO,1
C=C=C(C)OOO,1
CC(=CO)OC=O,1
CC(=C=O)OCO,1
[4*]C(C)C=O,1
[1*]C(=O)CC=C,1
[1*]C(=O)C[7*],1
C=CC=C(O)OO,1
CC(=O)C=C(O)O,1
C=C(O)C=C(O)O,1
CC(O)=C=C(O)O,1
CC1(C)OC(=O)O1,1
C=C(C=O)OOC,1
COOC(C)=C=O,1
[4*]CC(=C)C=O,1
CC(C=O)=COO,1
[4*]CC(C)=C=O,1
[4*]CC(=O)C=O,1
COC=C(O)C=O,1
[4*]CC(O)=C=O,1
[4*]C(O)CO,1
O=CCC(=O)CO,1
O=C(C=CO)CO,1
O=CC(=O)CCO,1
OC=C=C(O)CO,1
O=CCC(O)=CO,1
OC=CC(O)=CO,1
O=C=C(O)CCO,1
[7*]C(O)C(=O)O,1
C=C=C(O)C(O)O,1
C=CC(O)C(=O)O,1
C#CC(O)C(O)O,1
C=C(OO)C(C)=O,1
C=C(O)C(=C)OO,1
CC(C=O)=C(O)O,1
C=C(CO)C(=O)O,1
C=C(C=O)C(O)O,1
CC(=CO)C(=O)O,1
[4*]C(C)C#C,1
C=C=C(O)OOC,1
[4*]CC(=O)C=C,1
C=CC(O)=COO,1
[4*]CC(O)=C=C,1
[4*]CC(O)C#C,1
[4*]C(O)C=C,1
CC(=O)C(O)=CO,1
C=C(O)C(O)=CO,1
CC(O)C(O)=C=O,1
CC(=O)C(O)C=O,1
C=C(O)C(O)C=O,1
C=CC1(O)OCO1,1
[4*]C1(C)C=CO1,1
[13*]C1(C)C=CO1,1
CC1(C=O)OCO1,1
C=C(OC)C(=O)O,1
[1*]C(=O)C(C)=O,1
[1*]C(=O)C(=C)O,1
C=CC(O)=C(O)O,1
CCC(=O)C(=O)O,1
C=CC(=O)C(O)O,1
CC(C=O)C(=O)O,1
[1*]C(=O)C(=C)C,1
CC(=O)C(=O)CO,1
C=C(O)C(=O)CO,1
CC(O)C(=O)C=O,1
CC=C=C(O)OO,1
[4*]C(O)C=C=C,1
[4*]C(O)CC#C,1
[4*]C(O)C#CC,1
[1*]C(=O)CO,1
[1*]C(=O)C=O,1
C=COC(O)=CO,1
[3*]OC(O)=C=O,1
[4*]C(O)C=O,1
CC=C(O)OC=O,1
C=C=C(O)OCO,1
CC1=C(O)C1(O)O,1
CC1C(=O)C1(O)O,1
[4*]C1(C)OC1=O,1
[13*]C1(O)OC1=O,1
C=CC1(O)OC1O,1
[13*]C1(C)OC1=C,1
[15*]C1(O)C=CC1,1
O=CC1(O)CCO1,1
C=CC1(C)OOO1,1
C=CC1(O)COO1,1
CC1(C=O)COO1,1
O=CC1(O)COC1,1
[4*]C1(C)OO1,1
CC1(C=CO)OO1,1
[4*]C1(C)CO1,1
CC(=C=O)C(O)O,1
OC=CC1(O)CO1,1
[15*]C1(C)C=C1,1
[4*]C1(C)C=C1,1
C=COC(=C)OO,1
[4*]C([4*])C,1
C=C(CC=O)OO,1
C=C(C=CO)OO,1
CC(=C=CO)OO,1
[4*]C(C)C=C=O,1
[4*]C(C)C#CO,1
C=C(CO)OC=O,1
C=C(C=O)OCO,1
OC1(O)C=COC1,1
CC1(O)C(=O)C1O,1
CC1(O)C(O)=C1O,1
C=C1C(O)C1(O)O,1
C=C1CC(O)OO1,1
CC1=CC(O)OO1,1
CC1COC(=O)O1,1
[4*]C1(C)OC1=C,1
[15*]C1(C)CC1=O,1
[4*]C1(C)CC1=O,1
[15*]C1(C)C=C1O,1
[4*]C1(C)C=C1O,1
CC1(C=O)OC1O,1
[15*]C1(O)CC1=C,1
[15*]C1(O)C=C1C,1
CC1OC1(O)C=O,1
O=CC1(O)CC1O,1
C=C(O)C1(C)OO1,1
C=C(C)C1(O)OO1,1
C=C(O)C1(O)CO1,1
CC1OC2(O)OC12,1
OC1CC2(O)OC12,1
CC12COC(O1)O2,1
OC12COC(C1)O2,1
[8*]C(O)(O)O,1
