Fragment,Count
[3*]ON(O)ON=NC#N,7
[3*]ON(O)N=C=NN=O,7
[13*]C1(O)N=C=NN=N1,7
[3*]ON(O)N=NOC#N,7
[13*]C1([13*])NC(O)(O)O1,7
[3*]ON=NN=NC(=O)O,7
[13*]C1(O)N=NN1C#N,7
[3*]OC(O)=NN=NN=O,7
[3*]ON(O)N=NN=C=O,7
[13*]C1(O)NC([13*])(O)O1,7
[1*]C(=O)N=NN=C=N,7
[1*]C(=O)N=C=NN=N,7
[5*]NC(O)(O)ON(O)O,6
[3*]OC(O)(O)ON(N)O,6
[3*]ON(N)OC(O)(O)O,6
[3*]OC(O)(O)N=C=NN=O,6
[3*]OC(N)(O)ON(O)O,6
[3*]OC(O)(O)N(C#N)N=O,6
[3*]OC(O)(O)N=NN=C=O,6
[3*]ON(O)NC(O)(O)O,6
[3*]OC(O)(O)NN(O)O,6
[3*]OC(O)(O)ON=NC#N,6
[3*]ON(O)OC(N)(O)O,6
[3*]OC(O)(O)N=NOC#N,6
[3*]OC(N)(O)N=NOC#N,5
[5*]NC(O)(O)N=C=NN=O,5
[3*]OC(=N)N=NON=N,5
[13*]C1([13*])NC(O)(O)N1,5
[13*]C1([13*])OC(O)(O)O1,5
[5*]NC(O)(O)ON=NC#N,5
[3*]OC(N)(O)N=C=NN=O,5
[5*]NC(O)(O)N=NOC#N,5
[3*]OC(=N)ON=NN=N,5
[3*]OC(O)(O)N=C=NN=N,5
[3*]OC(O)(O)N(C#N)N=N,5
[3*]OC(=N)N=NNN=O,5
[3*]ON=NN=NC(N)=O,5
[3*]OC(=N)N=NN=NO,5
[3*]OC(N)(O)N(C#N)N=O,5
[3*]OC(N)=NN=NN=O,5
[3*]OC(O)=NN=NN=N,5
[3*]ON(N)N=NOC#N,5
[3*]OC(N)(O)N=NN=C=O,5
[3*]ON(O)NN=NC#N,5
[3*]ON(O)N=NNC#N,5
[13*]C1(N)OC([13*])(N)O1,5
[3*]ON(O)N=NN=C=N,5
[5*]NC(O)=NN=NN=O,5
[3*]OC(N)(O)ON=NC#N,5
[3*]OC(=N)NN=NN=O,5
[3*]OC(O)(O)N=NNC#N,5
[13*]C1(N)ON(N)O1,5
[5*]NC(O)(O)N(C#N)N=O,5
[13*]C1(N)NN(O)O1,5
[13*]C1(O)NC([13*])(O)N1,5
[13*]C1(O)NN(N)O1,5
[13*]C1(O)NN(O)N1,5
[3*]ON(N)N=C=NN=O,5
[3*]OC(O)(O)N=NN=C=N,5
[3*]OC(O)(O)NN=NC#N,5
[3*]ON(O)N=C=NN=N,5
[3*]ON(N)ON=NC#N,5
[1*]C(=O)NN(N)O,5
[3*]ON(N)N=NN=C=O,5
[13*]C12N=NN1N=N2,5
[14*]c1nnnnn1,5
[13*]C1(O)OC([13*])(O)O1,5
[3*]ON=NN=NC(=N)O,5
[13*]C1([13*])OC(N)(N)O1,5
[13*]C1([13*])N=NN=NN1,5
[5*]NC(=N)ON=NN=O,5
[13*]C1([13*])NC(N)(O)O1,5
[13*]C1([13*])N=NN1N=N,5
[5*]NC(=N)N=NON=O,5
[13*]C1([13*])N=NNN=N1,5
[5*]NC(O)(O)N=NN=C=O,5
[5*]NC(O)(O)ON(N)O,4
[3*]OC(O)(O)ON(N)N,4
[3*]OC(O)(O)NN(N)O,4
[9*]n1nnn1OC(O)(O)O,4
[5*]NC(O)(O)NN(O)O,4
[3*]OC(N)(N)ON(O)O,4
[1*]C(=O)N=NN=NO[3*],4
[13*]C1([13*])OC(=O)O1,4
[3*]ON(N)NC(O)(O)O,4
[13*]C1([13*])OC(=N)O1,4
[13*]C1([13*])NC(=O)O1,4
[8*]C(N)(O)OC(O)(O)O,4
[13*]C12NC([13*])(O1)O2,4
[13*]C12OC([13*])(O1)O2,4
[3*]OC(N)(O)ON(N)O,4
[3*]ON(O)NC(N)(O)O,4
[3*]OC(N)(N)N[5*],4
[3*]ON(N)OC(N)(O)O,4
[5*]NC(N)(O)ON(O)O,4
[3*]ON(O)OC(N)(N)O,4
[8*]C(O)(O)OC(O)(O)O,4
[9*]n1nnn1N,4
[8*]C(O)(O)NC(O)(O)O,4
[13*]C1([13*])N=C(O)O1,4
[3*]OC(N)(O)NN(O)O,4
[8*]C(O)(O)OC(N)(O)O,4
[13*]C1(O)NC(O)(O)N=NN=NO1,3
[13*]C1(N=NN=NO)NC(O)(O)O1,3
[13*]C1(O)N=NN=NOC(O)(O)N1,3
[13*]C1(N=NON=N)NC(O)(O)O1,3
[13*]C1(NN=NN=O)NC(O)(O)O1,3
[13*]C1(O)N=NON=NC(O)(O)N1,3
[13*]C1(N=NNN=O)NC(O)(O)O1,3
[13*]C1(O)ON=NN=NC(N)(O)O1,3
[9*]n1nnnnc1=O,3
[8*]C(N)(N)O,3
[9*]n1nnc(=O)nn1,3
[13*]C1(N=NNN=N)OC(O)(O)O1,3
[13*]C1(O)N=NN=NOC(N)(O)O1,3
[13*]C1(N=NN=NN)OC(O)(O)O1,3
[5*]NC(N)(O)N(N=N)N=O,3
[9*]n1nnn1N=C=O,3
[13*]C1(NN=NN=N)OC(O)(O)O1,3
[5*]NC(O)(O)N(N=N)N=N,3
[10*]N1C(=O)NC1(N)O,3
[3*]OC(N)(O)N(N=N)N=N,3
[10*]N1C(=O)OC1(N)N,3
[13*]C1([13*])NC(=N)O1,3
[1*]C(=O)N=C(N)N,3
[13*]C1([13*])N=C(N)O1,3
[13*]C1(N)N=NN1N=N,3
[13*]C1([13*])N=C(O)N1,3
[9*]n1nnn1OC#N,3
[13*]C1(O)N=NON=NC(O)(O)O1,3
[13*]C1(O)N=NN=NOC(O)(O)O1,3
[13*]C1(O)ON=NN=NC(O)(O)O1,3
[13*]C1(O)N=NNN=NC(O)(O)O1,3
[13*]C1(O)N=NN=NNC(O)(O)O1,3
[13*]C1(O)NN=NN=NC(O)(O)O1,3
[13*]C1([13*])N=C=NN=N1,3
[5*]NC(N)(O)NN=NN=O,3
[13*]C1(O)OC(N)(O)N=NN1N=O,3
[13*]C1(N=NNN=O)OC(O)(O)O1,3
[13*]C1(N)N=NNN=N1,3
[13*]C1(N)N=NN=NN1,3
[13*]C1(NN=NN=O)OC(O)(O)O1,3
[13*]C1(O)OC(O)(O)N=NN1N=N,3
[13*]C1(O)OC(O)(O)N=NN1N=O,3
[13*]C1(N=NN=NO)OC(O)(O)O1,3
[13*]C1(O)NC(O)(O)N=NN1N=O,3
[13*]C1(N)OC(O)(O)N=NN1N=O,3
[13*]C1(N=NON=N)OC(O)(O)O1,3
[13*]C1([13*])NC(=O)N1,3
[1*]C(=O)N=NN=NOC(O)(O)O,3
[13*]C1(O)NC(O)(N(N=N)N=O)O1,3
[1*]C(=O)N=NON=NC(O)(O)O,3
[13*]C1(N(N=O)N=O)NC(O)(O)O1,3
[13*]C1(O)NC(O)(N(N=O)N=O)O1,3
[13*]C1(O)NC(O)(N(N=O)N=O)N1,3
[13*]C1(N(N=O)N=O)NC(O)(O)N1,3
[3*]OC(N)(N)N(N=N)N=O,3
[13*]C1(O)OC(N)(N(N=N)N=O)O1,3
[13*]C1(O)OC(O)(N=NNN=O)O1,3
[13*]C1(O)OC(N)(N(N=O)N=O)O1,3
[13*]C1(O)OC(O)(NN=NN=O)O1,3
[13*]C1(O)OC(O)(N=NN=NO)O1,3
[13*]C1(O)NC(N)(N(N=O)N=O)O1,3
[13*]C1(N(N=N)N=O)OC(N)(O)O1,3
[13*]C1(N)OC(O)(N(N=N)N=O)O1,3
[13*]C1(O)OC(O)(N=NON=N)O1,3
[13*]C1(O)NC(O)(N=NON=O)N1,3
[13*]C1(O)N=NN=NN1C(O)(O)O,3
[13*]C1(N=NON=O)OC(N)(N)O1,3
[5*]NC(N)(N)N(N=O)N=O,3
[13*]C1(O)N=NN1N=NC(O)(O)O,3
[13*]C1(O)NC(O)(N=NON=O)O1,3
[13*]C1(O)NC(O)(N=NON=N)O1,3
[13*]C1(O)NC(O)(N=NNN=O)O1,3
[13*]C1(N(N=N)N=O)NC(O)(O)O1,3
[13*]C1(O)NC(O)(N=NN=NO)O1,3
[1*]C(=O)N=NN(N=O)C(N)(O)O,3
[13*]C1(N(N=N)N=N)OC(O)(O)O1,3
[13*]C1(N(N=N)N=O)OC(O)(O)O1,3
[1*]C(=O)N=NN=NNC(O)(O)O,3
[1*]C(=O)NN=NN=NC(O)(O)O,3
[1*]C(=O)N=NNN=NC(O)(O)O,3
[13*]C1(O)OC(O)(N(N=N)N=N)O1,3
[13*]C1(O)OC(O)(N(N=N)N=O)O1,3
[13*]C1(O)NC(O)(NN=NN=O)O1,3
[13*]C1(O)OC(O)(NN=NN=N)O1,3
[13*]C1(O)OC(O)(N=NN=NN)O1,3
[13*]C1(N(N=O)N=O)OC(N)(N)O1,3
[1*]C(=O)N=NN=NOC(N)(O)O,3
[1*]C(=O)N=NON=NC(N)(O)O,3
[13*]C12NC([13*])(N1)O2,3
[13*]C1(O)N=NN(C(O)(O)O)N=N1,3
[3*]ON=NN=NC(N)(N)O,3
[1*]C(=O)N=NN(N=N)C(O)(O)O,3
[1*]C(=O)N(N=NN=N)C(O)(O)O,3
[1*]C(=O)N(N=NN=O)C(O)(O)O,3
[3*]OC(N)(O)N=NN=NN,3
[3*]OC(N)(O)NN=NN=N,3
[3*]OC(N)(O)N=NNN=N,3
[5*]NC(N)(O)N=NON=N,3
[5*]NC(N)(O)ON=NN=N,3
[5*]NC(N)(O)N=NNN=O,3
[5*]NC(N)(O)N=NN=NO,3
[1*]C(=O)N(N=NN=O)C(N)(O)O,3
[13*]C1(N)OC(O)(N(N=O)N=O)O1,3
[13*]C1(N(N=O)N=O)OC(N)(O)O1,3
[13*]C1(N)NC(O)(N(N=O)N=O)O1,3
[13*]C1(O)OC(O)(N=NNN=N)O1,3
[13*]C1(N)OC(N)(N(N=O)N=O)O1,3
[13*]C1(O)N=C(N)N1,3
[13*]C1(O)NC(=N)N1,3
[13*]C1(N)N=C(O)N1,3
[13*]C1(N)N=NN(N=O)C(O)(O)O1,3
[13*]C1(N)N=C(N)O1,3
[13*]C1(N)NC(=N)O1,3
[13*]C12NC(N)(N1)O2,3
[13*]C12NC(O)(N1)N2,3
[13*]C1(O)N=NN(N=N)C(O)(O)O1,3
[13*]C1(O)N=NN(N=O)C(O)(O)O1,3
[13*]C1(O)N=NN(N=O)C(O)(O)N1,3
[13*]C1(O)N=NN(N=O)C(N)(O)O1,3
[13*]C1(N(N=O)N=O)NC(N)(O)O1,3
[13*]C1(N)NC(=O)N1,3
[13*]C1(N=NON=O)OC(N)(O)O1,3
[13*]C1(O)OC(O)(O)N1N=NN=N,3
[13*]C1(O)OC(O)(O)N1N=NN=O,3
[13*]C1(N)OC(N)(N=NON=O)O1,3
[13*]C1(N=NNN=O)OC(N)(O)O1,3
[13*]C1(NN=NN=O)OC(N)(O)O1,3
[13*]C1(O)OC(N)(N=NN=NO)O1,3
[13*]C1(O)OC(N)(NN=NN=O)O1,3
[13*]C1(N=NN=NO)OC(N)(O)O1,3
[13*]C1(O)NC(O)(O)N1N=NN=O,3
[13*]C1(O)OC(N)(N=NNN=O)O1,3
[13*]C1(O)OC(N)(N=NON=N)O1,3
[13*]C1(O)OC(N)(O)N1N=NN=O,3
[13*]C1(N)NC(O)(N=NON=O)O1,3
[13*]C1(N)OC(O)(O)N1N=NN=O,3
[5*]NC(O)(O)NN=NN=N,3
[13*]C1(O)OC(N)(N=NON=O)O1,3
[5*]NC(O)(O)N=NNN=N,3
[13*]C1(O)NC(N)(N=NON=O)O1,3
[5*]NC(N)(N)N=NON=O,3
[13*]C1(N=NON=O)NC(O)(O)N1,3
[1*]C(=O)N=NN(N=O)C(O)(O)O,3
[5*]NC(N)(N)ON=NN=O,3
[3*]OC(N)(N)N=NN=NO,3
[3*]OC(N)(N)NN=NN=O,3
[3*]OC(N)(N)N=NON=N,3
[3*]OC(N)(N)N=NNN=O,3
[3*]OC(N)(N)ON=NN=N,3
[5*]NC(O)(O)N=NN=NN,3
[13*]C1(N=NON=N)OC(N)(O)O1,3
[13*]C1(N)N=NN=NOC(O)(O)O1,3
[13*]C1(N)OC(O)(N=NON=O)O1,3
[13*]C1(N)N=NON=NC(O)(O)O1,3
[13*]C1(N=NON=O)NC(N)(O)O1,3
[13*]C1(N)OC(O)(N=NON=N)O1,3
[13*]C1(N)OC(O)(N=NNN=O)O1,3
[13*]C1(N)OC(O)(NN=NN=O)O1,3
[13*]C1(N)ON=NN=NC(O)(O)O1,3
[13*]C1(N)OC(O)(N=NN=NO)O1,3
[13*]C1([13*])N=NN1C#N,3
[13*]C1(N=NON=O)NC(O)(O)O1,3
[13*]C1(O)N=NON=NC(N)(O)O1,3
[13*]C12NC(NN=NN=O)(O1)O2,2
