Fragment,Count
[3*]OO,61
[3*]OC,57
[8*]CO,26
[4*]CC,21
[3*]O[3*],20
[4*]C[8*],15
[3*]OOC,14
[3*]OCO,14
[8*]CC,13
[13*]C1CO1,12
[13*]C1OO1,10
[3*]OOO,8
[7*]CC,7
[15*]C1CC1,7
[3*]OC=O,7
[4*]CCO,6
[8*]C(O)O,6
[4*]C(C)O,6
[8*]CCO,5
[8*]C(C)O,5
[3*]OC=C,5
[13*]C1([13*])CO1,4
[1*]C(C)=O,4
[4*]CC=C,4
[13*]C1(O)CO1,4
[13*]C1OCO1,4
[15*]C1CC1O,4
[13*]C1CCO1,4
[13*]C1COO1,4
[15*]C1COC1,4
[13*]C1OC1O,4
[13*]C1OC1C,4
[13*]C1(C)OO1,4
[13*]C1(C)CO1,4
[15*]C1(O)CC1,4
[4*]CC=O,4
[7*]CCO,4
[13*]C1OC1[13*],4
[7*]C(C)O,4
[3*]OCOC,3
[4*]CCC,3
[3*]OO[3*],3
[4*]C(C)C,3
[4*]CC[7*],3
[15*]C1CC1[15*],2
[13*]C1(C)COO1,2
[4*]C1([13*])CO1,2
[15*]C1([15*])CC1,2
[13*]C1([13*])OO1,2
[15*]C1(O)COC1,2
[13*]C1CCOO1,2
[4*]CC(C)=O,2
[4*]CC(=C)O,2
[3*]OOC=C,2
[13*]C1OCCO1,2
[7*]C(C)OO,2
[4*]C(O)C=C,2
[1*]C(=O)CC,2
[15*]C1CC1(O)O,2
[13*]C1OC1(C)O,2
[13*]C1OC(C)O1,2
[13*]C1CC(O)O1,2
[3*]OCOO,2
[3*]OOC=O,2
[13*]C1OOC1C,2
[8*]C(C)C,2
[13*]C1(C)OC1O,2
[13*]C1OCC1O,2
[13*]C1(O)OC1C,2
[15*]C1(O)CC1O,2
[4*]C([4*])C,2
[7*]C(O)CO,2
[15*]C1COC1O,2
[4*]CC[8*],2
[4*]C([8*])C,2
[1*]C(=O)O,2
[15*]C1C(O)C1O,2
[3*]OC(=C)O,2
[13*]C1OOO1,2
[3*]OOCO,2
[8*]CCC,2
[13*]C1(O)OO1,2
[4*]C(C)C=O,2
[3*]OC=CO,2
[4*]CC=CO,2
[3*]OC(O)O,2
[15*]C1COOC1,2
[4*]C([8*])O,2
[13*]C1(O)CCO1,2
[3*]OOOC,2
[4*]CCC=O,2
[13*]C1COCO1,2
[4*]CC[4*],2
[4*]C1(C)CO1,2
[7*]CC(O)O,2
[13*]C1(C)OCO1,2
[8*]C(C)(O)O,1
[8*]C(O)(O)O,1
OC1CCC(O)O1,1
[8*]C(C)(C)O,1
CC1OOC(C)O1,1
[15*]C1CC(O)C1,1
OC1COCOC1,1
[8*]CC(C)O,1
CC1COCOO1,1
[8*]CC(O)O,1
CC1COOOC1,1
OC1CCCOO1,1
OC1COCCO1,1
OC1CCOOC1,1
CC1OCOCO1,1
OC1CCOCO1,1
CC1OCCOO1,1
OC1OCCCO1,1
CC1OCC(O)O1,1
CC1CCOOO1,1
CC1COOCO1,1
[13*]C1CC(C)O1,1
CC1(O)CC1(O)O,1
CC1(O)OC1(C)O,1
OC1CC(O)(O)C1,1
CC1CC(O)(O)O1,1
CC1(O)CC(O)O1,1
CC1OC(C)(O)O1,1
CC(O)C=COO,1
[4*]CCC(=C)O,1
[4*]CCC(C)=O,1
C=C(C)OCOO,1
[15*]C1(C)COC1,1
[13*]C1(O)COO1,1
[13*]C1(C)OOO1,1
[15*]C1(C)CC1O,1
[15*]C1(O)CCC1,1
[15*]C1(O)CC1C,1
[4*]C1(C)CC1O,1
[4*]C1(C)OC1C,1
[13*]C1(C)OC1C,1
[13*]C1(O)OC1O,1
[4*]C1(C)OC1O,1
[4*]C1(C)CC1,1
[15*]C1(C)CC1,1
[13*]C1OC(O)O1,1
OC1COC(O)C1,1
CC1COC(O)O1,1
CC1CC(O)OO1,1
[4*]C1(C)COO1,1
[13*]C1OOC1O,1
[15*]C1COC1C,1
[13*]C1CCCO1,1
[13*]C1COOO1,1
CC(O)(O)CC=O,1
[4*]C1([15*])CC1,1
[4*]CC=COO,1
CC1(C)OC1(O)O,1
[4*]C(O)(O)C=C,1
[4*]C(C)(O)C=O,1
[4*]C(C)(O)C=C,1
CCC(O)(O)C=O,1
C=CC(O)(O)CO,1
[4*]C(C)(C)C=O,1
CC(O)(C=O)CO,1
[3*]OCOC=O,1
[4*]CC=COC,1
[3*]OC=COO,1
COOC=CCO,1
[3*]OOC=CO,1
COC=COCO,1
CCC=COOO,1
[4*]CCC=C,1
CC=COOCO,1
[8*]C(O)CO,1
[4*]CCCO,1
C=COCOOC,1
C=CCC(O)(O)O,1
[7*]CC(O)(O)O,1
[13*]C1OCOO1,1
[15*]C1CCOC1,1
[8*]C(C)CO,1
[8*]C(O)CC,1
OCC=COCO,1
[7*]C(CO)OO,1
[4*]C(C=O)CC,1
[4*]C(C=C)CO,1
OC=C(CO)CO,1
O=CC(CO)CO,1
[4*]C1([13*])OO1,1
CC1OCOC1O,1
C=COCOCO,1
CC1OOOC1C,1
CC1OOCC1O,1
OC1COCC1O,1
CC1COOC1O,1
CC1C(O)OC1O,1
CC1OC(O)C1O,1
OC1CC(O)C1O,1
[15*]C1CCC1,1
OC1CCOC1O,1
[13*]C1OCC1C,1
[15*]C1CCC1O,1
COCOC=CO,1
CC=COCOO,1
OCCC=COO,1
[4*]CCC=CO,1
[4*]CCCC=O,1
COC=COOC,1
CCC(=CO)OO,1
CC=COOOC,1
[15*]C1CC1C,1
COC(=CO)OC,1
[4*]C([4*])C=O,1
CC=C(OC)OO,1
[4*]C([4*])C=C,1
COC(=CO)CO,1
[4*]C(C=O)CO,1
C=COOCOC,1
CC1(O)OCCO1,1
OC1(O)CCCO1,1
CC1(O)COOC1,1
CC1(O)CCOO1,1
OC1(O)CCOC1,1
CC1(C)COOO1,1
CC1(C)OCOO1,1
CC1(O)COCO1,1
CC(O)C(O)C=O,1
[4*]CC(O)O,1
[4*]CC(=C)C,1
CC(C)=COOO,1
C=C(C)OOCO,1
CC(O)=COCO,1
[4*]CC(C)O,1
CC1COC1(O)O,1
CC1(O)OCC1O,1
[3*]OC=C(O)O,1
[4*]C(O)C=O,1
O=C(CO)CCO,1
CC1(O)C(O)C1O,1
CC1C(O)C1(O)O,1
C=C(OC)OCO,1
[1*]C([1*])=O,1
C=COC(O)OC,1
[1*]C(=O)CCO,1
[13*]C1OC1(C)C,1
[4*]C(O)CC=O,1
[4*]C(O)C=CO,1
CC=C(O)OCO,1
[4*]C(O)CC,1
[3*]OC(=C)OO,1
C=C(CCO)OO,1
CC1(O)COC1O,1
[13*]C1OC1(O)O,1
[15*]C1CC1(C)O,1
COC(O)=CCO,1
CC(=O)CC(O)O,1
C=C(O)CC(O)O,1
CC1(C)OC(O)O1,1
CC(O)(O)C=CO,1
C=C(C)C(O)(O)O,1
C1COCOCO1,1
[4*]C(C)(C)O,1
[4*]C(C)(O)O,1
OC1CCC1(O)O,1
[15*]C1C(C)C1O,1
C1COOCCO1,1
C1CCOOOC1,1
C1COCOOC1,1
[3*]OOOC=C,1
C=C(O)C(C)(O)O,1
CC(C)(O)C(=O)O,1
CC(=O)C(C)(O)O,1
[8*]CCCO,1
CC1OOC1(C)O,1
CC1OCC1(O)O,1
CC1(C)OOC1O,1
O=C(O)CCCO,1
OCCC=C(O)O,1
OC=CCC(O)O,1
O=CCCC(O)O,1
C=C(C)OOOC,1
CC(O)C=C(O)O,1
[3*]OOC(=C)O,1
[4*]CC(=O)O,1
C=C(O)OCOC,1
[4*]CCC(=O)O,1
[4*]CC=C(O)O,1
COC=CC(O)O,1
CC=COC(O)O,1
C=C(C)OC(O)O,1
CC(O)CC(=O)O,1
COOC=C(C)O,1
[4*]C(O)C(=C)O,1
CCC(O)=C(O)O,1
CCC(=O)C(O)O,1
[7*]C(O)C(O)O,1
CCC(O)C(=O)O,1
C=CC(O)C(O)O,1
C=C(OO)C(C)O,1
[4*]C(C)C(C)=O,1
[4*]C(O)CO,1
CC(CO)=C(O)O,1
C=C(CO)C(O)O,1
CC(=CO)C(O)O,1
[4*]CC([7*])O,1
[4*]CC(O)C=C,1
[4*]CC(=C)OO,1
COC=C(C)OO,1
C=C(CO)OOC,1
[4*]C(C)C(=C)O,1
[4*]C1(C)COC1,1
[4*]C1(C)OO1,1
CC(CO)C(=O)O,1
CC(C=O)C(O)O,1
CC(C)=C(O)OO,1
[1*]C(=O)C(C)C,1
[4*]C(O)C(=C)C,1
CC(O)C(=O)CO,1
[4*]C(O)C(C)=O,1
CC(=O)C(O)CO,1
C=C(O)C(O)CO,1
[4*]C1(C)OCO1,1
[13*]C1(O)OCO1,1
[4*]C1(C)CCO1,1
[13*]C1(C)CCO1,1
[4*]C(C)C(=O)O,1
COC(O)=C(C)O,1
[1*]C(=O)C(C)O,1
CC(O)C(O)=CO,1
[4*]C(C)C=C,1
[1*]C(=O)C[4*],1
COC=C(O)OC,1
CC=C(O)OOC,1
[4*]CC(=O)CC,1
CCC(O)=COO,1
[4*]C(C)CC=O,1
[4*]C(C)C=CO,1
COOC(C)=CO,1
CC(=CO)OCO,1
[4*]C(C)CO,1
[1*]C(=O)CCC,1
CCC=C(O)OO,1
[4*]C(O)CC=C,1
[4*]C(O)C[7*],1
[1*]C(=O)CO,1
[3*]OC(O)=CO,1
C=C(CO)OCO,1
[4*]CC(=C)CO,1
CC(=COO)CO,1
[4*]CC(C)=CO,1
[4*]CC(C)C=O,1
[4*]CC(=O)CO,1
COC=C(O)CO,1
[4*]CC(O)=CO,1
[4*]CC(O)C=O,1
[7*]C(C)OOO,1
C=C(OC)C(O)O,1
OC=C(O)CCO,1
O=CCC(O)CO,1
OC=CC(O)CO,1
O=CC(O)CCO,1
C=C(OC)OOC,1
[4*]CC(=C)OC,1
COC(C)=COO,1
C=C(CC)OOO,1
COC(C)=C(O)O,1
