Fragment,Count
[13*]C1(O)N=NOO1,4
[5*]NC(O)(O)OO,4
[3*]ON(N)C#N,4
[3*]ON(N)ON(O)O,4
[3*]ONN,4
[13*]C1(O)N=C(O)N1,4
[3*]ON(O)ON(N)O,4
[3*]OC(O)(O)N=C=N,4
[3*]On1[nH]c(=N)o1,4
[3*]ON1NN(O)O1,4
[3*]OOC(N)(O)O,4
[13*]C1(N)OC(N)(O)O1,4
[3*]ON=C=N,4
[13*]C1([13*])OC(=N)O1,4
[3*]OC(O)N=N,3
[8*]C(O)(O)ON=N,3
[13*]C1(N)N=C(ON(O)O)O1,3
[6*]C(=O)O,3
[4*]C(N=N)(N=O)C(=O)O,3
[14*]c1nn(N)[nH]1,3
[3*]OC(N)(N)ON=O,3
[3*]OC(O)(O)OO,3
[13*]C1(O)NN(O)N1N=O,3
[4*]C([4*])(C#N)N=O,3
[3*]ONC(O)(O)O,3
[1*]C(=O)N=NC(O)(O)O,3
[13*]C1(N)OC(O)(O)O1,3
[3*]ON(O)ON,3
[8*]CN=O,3
[3*]OC(N)(O)N=NO,3
[3*]OC(=N)N=NO,3
[13*]C12OC(O)(O1)O2,3
[1*]C(=O)N=NO[3*],3
[13*]C1(N)NC([13*])(O)O1,3
[8*]C(O)(O)OC(=N)O,3
[13*]C12NC([13*])(O1)O2,3
[4*]C(N)(C#N)N=NOO,3
[13*]C1(O)NC([13*])(O)O1,3
[3*]ON(O)N=C=O,3
[8*]C(O)(O)NN(O)O,3
[13*]C1(N)OOO1,3
[13*]C1(N)NO1,3
[3*]On1nc(N)o1,3
[3*]ONC(=O)O,3
[13*]C1(N=O)NC(N)(O)O1,3
[13*]C1(O)N=C(N)O1,3
[1*]C(=O)NN=NC(O)(O)O,3
[4*]C([4*])(C)O,3
[3*]OC(O)=NN(O)O,3
[13*]C1(NN(O)O)N=NO1,3
[13*]C1([13*])OC(N)(N)O1,3
[13*]C1(N)OC(O)(N=N)O1,3
[3*]ON(N)N=C=N,3
[5*]NC(O)(N=O)ON=N,3
[13*]C1([13*])N=C=N1,3
[3*]ON=NC(N)(O)O,3
[3*]ON(N)N=N,3
[3*]ON(O)C=O,3
[10*]N1C(=O)NC1=O,3
[9*]n1c(O)nn1O,3
[3*]OC(=N)N=NN=O,3
[13*]C1([13*])N=C(N)N1,3
[13*]C1(N)ON(N=O)O1,3
[1*]C(=O)N=NN(O)O,3
[13*]C1(N=O)N=C=N1,3
[3*]ON(N)C=O,3
[3*]ON=NC(N)=O,3
[13*]C1([13*])NC(O)(N=N)O1,3
[3*]ON(O)NC(=N)O,3
[3*]ON1OC(N)(N)O1,3
[13*]C1(N=O)N=NO1,3
[4*]C1(C#N)OC([13*])(N)O1,3
[13*]C1(N)OC([13*])(C#N)O1,3
[6*]C(=O)N(O)O,3
[13*]C1(N)N=NC([13*])(O)N1,3
[5*]NC(=N)N=O,3
[5*]NC(O)(O)N=C=O,3
[3*]OC(N)(N)ON=N,3
[3*]On1nc(O)[nH]1,3
[8*]C(O)(O)N=O,3
[13*]C1(N)N=C(N)O1,3
[3*]ON(N)NC(=O)O,3
[6*]C(=O)N=O,3
[3*]ON(O)NN=N,3
[13*]C1([13*])OO1,3
[13*]C1([13*])OC(N)(O)O1,3
[3*]On1nc(O)o1,3
[3*]OC(=N)NN=O,3
[13*]C12ON3OC(O)(O1)N32,3
[3*]OC(=N)OO,3
[13*]C1(N)ON2NN(O)N21,3
[13*]C12OC([13*])(O1)O2,3
[3*]ON(C#N)N=O,3
[5*]NC1=NC(O)(O)O1,3
[3*]ON=NC(=O)O,3
[5*]NC(=N)ON(O)O,3
[1*]C(=O)N=C=N,3
[5*]NC(=N)OC(=N)O,3
[4*]C([4*])(O)C=N,3
[3*]ON(O)ON(O)O,3
[3*]OC(O)(O)OC#N,3
[3*]On1oc(=O)o1,3
[3*]OC(O)N=O,3
[3*]OC(=N)ON(N)O,3
[3*]ON=NN=O,3
[4*]C1([13*])N=N1,3
[4*]C(O)(O)C(=O)N=O,3
[1*]C(=O)NN(N)ON=O,2
[3*]ON1NC(O)(O)N1,2
[3*]ON=NC(=O)N=N,2
[13*]C1(N=N)NC(O)(O)O1,2
[3*]ON(N)OC(=N)N[5*],2
[13*]C1(N)OC(O)(N=O)N1N=O,2
[3*]OC(N)(N)OO,2
[13*]C1(N=O)N=C(OO)O1,2
[3*]ON(N)ON,2
[9*]n1c(=O)[nH]n1N,2
[3*]OC(N)(N)N=N,2
[13*]C1(N=NO)NC(O)(N=O)N1,2
[5*]N(C#N)C(O)(O)O,2
[3*]OC(O)(O)OC(=N)O,2
[3*]OC(N)=NO,2
[4*]C1(C#N)ON(N=O)O1,2
[13*]C1(C#N)ON(N=O)O1,2
[13*]C1(O)N=C(N=O)O1,2
[13*]C1([13*])N=NC(=O)O1,2
[3*]OC(N)(O)NC#N,2
