SMILES,MW,HBA,HBD,LogP,Valid,Error,Fragments
C#COC(C)(O)O,102.031694052,3,2,-0.748,True,False,"['[3*]OC#C', '[4*]C(C)(O)O']"
O=C=CC(C)(O)O,102.031694052,3,2,-0.925,True,False,['CC(O)(O)C=C=O']
OC#CC(C)(O)O,102.031694052,3,3,-0.9794,True,False,['CC(O)(O)C#CO']
C=C=CC(O)(O)O,102.031694052,3,3,-1.0418000000000005,True,False,['C=C=CC(O)(O)O']
C#CCC(O)(O)O,102.031694052,3,3,-1.3596,True,False,['C#CCC(O)(O)O']
CC#CC(O)(O)O,102.031694052,3,3,-1.3596,True,False,['CC#CC(O)(O)O']
CC(=O)OC(=O)C,102.031694052,3,0,0.0959999999999999,True,False,"['[3*]O[3*]', '[1*]C(C)=O']"
C=C(O)OC(=O)C,102.031694052,3,1,0.5787,True,False,"['[3*]OC(=C)O', '[1*]C(C)=O']"
C=C(O)OC(O)=C,102.031694052,3,2,1.0614,True,False,['C=C(O)OC(=C)O']
CC(=C)OC(=O)O,102.031694052,2,1,1.2146,True,False,"['[1*]C(=O)O', '[3*]OC(=C)C']"
CC(=O)CC(=O)O,102.031694052,2,1,0.0500999999999999,True,False,['CC(=O)CC(=O)O']
C=C(O)CC(=O)O,102.031694052,2,2,0.5327999999999999,True,False,['C=C(O)CC(=O)O']
CC(O)=CC(=O)O,102.031694052,2,2,0.5327999999999999,True,False,"['[7*]CC(=O)O', '[7*]C(C)O']"
CC(=O)C=C(O)O,102.031694052,3,2,0.5327999999999999,True,False,['CC(=O)C=C(O)O']
C=C(O)C=C(O)O,102.031694052,3,3,1.0154999999999998,True,False,['C=C(O)C=C(O)O']
CC(O)=C=C(O)O,102.031694052,3,3,1.0045,True,False,['CC(O)=C=C(O)O']
O=C1OC(O1)(C)C,102.031694052,3,0,0.8893,True,False,['CC1(C)OC(=O)O1']
C=C1OC(O1)(O)C,102.031694052,3,1,0.1703999999999999,True,False,['C=C1OC(C)(O)O1']
