SMILES,MW,HBA,HBD,LogP,Valid,Error,Fragments
ON=NN=NC(=O)OC(N=C(O)O)(O)N,222.034881912,6,5,-0.6340999999999999,True,False,"['[3*]OC(N)(O)N=C(O)O', '[1*]C(=O)N=NN=NO']"
N=NON=NC(O)=NC(NC(=O)O)(O)O,222.034881912,8,6,-0.90633,True,False,"['[1*]C(=O)O', '[5*]NC(O)(O)N=C(O)N=NON=N']"
O=NN=NNC(=O)NC(N=C(O)O)(O)O,222.034881912,6,6,-1.5978999999999997,True,False,"['[5*]NC(O)(O)N=C(O)O', '[1*]C(=O)NN=NN=O']"
N#CN=NOC(O)=NC(ON(O)O)(O)N,222.034881912,11,5,-1.6604199999999998,True,False,['N#CN=NOC(O)=NC(N)(O)ON(O)O']
N#CON=NC(O)=NC(NN(O)O)(O)O,222.034881912,10,6,-2.05382,True,False,['N#CON=NC(O)=NC(O)(O)NN(O)O']
N#CN=NNN(O)OC(OC(=O)O)(O)N,222.034881912,10,5,-1.7810200000000005,True,False,"['[1*]C(=O)O', '[3*]OC(N)(O)ON(O)NN=NC#N']"
O=NON=NC(N(C(=O)N)C(=O)O)(O)N,222.034881912,9,4,-1.3274,True,False,"['[1*]C(=O)O', '[1*]C(N)=O', '[5*]N([5*])C(N)(O)N=NON=O']"
N#CON=NC(N(C(=O)N)N(O)O)(O)O,222.034881912,10,5,-2.17672,True,False,['N#CON=NC(O)(O)N(C(N)=O)N(O)O']
O=NN(N=O)C(OC(=N)OC(=N)N)(O)O,222.034881912,10,5,-1.89146,True,False,['N=C(N)OC(=N)OC(O)(O)N(N=O)N=O']
N=NN(N=O)C(OC(=O)OC(=N)N)(O)O,222.034881912,10,5,-1.4416600000000002,True,False,"['[3*]OC(O)(O)N(N=N)N=O', '[1*]C([1*])=O', '[3*]OC(=N)N']"
O=NN(N=O)C(N=C(N)N=C(O)O)(O)O,222.034881912,7,5,-1.9662,True,False,['NC(N=C(O)O)=NC(O)(O)N(N=O)N=O']
N#CN(N=O)C(ON(O)OC(=O)O)(N)N,222.034881912,10,4,-1.7880200000000004,True,False,"['[1*]C(=O)O', '[3*]ON(O)OC(N)(N)N(C#N)N=O']"
N#CN(N=O)C(ON(O)NC(=O)O)(O)N,222.034881912,9,5,-2.18142,True,False,['N#CN(N=O)C(N)(O)ON(O)NC(=O)O']
O=NNN=NC(OC(=O)NC(=O)N)(O)O,222.034881912,9,5,-1.9746,True,False,"['[1*]C([1*])=O', '[5*]N[5*]', '[1*]C(N)=O', '[3*]OC(O)(O)N=NNN=O']"
N=NON=NC(OC(=N)NC(=O)O)(O)O,222.034881912,10,6,-0.8689600000000004,True,False,"['[1*]C(=O)O', '[5*]NC(=N)OC(O)(O)N=NON=N']"
NN=NN=NC(N=C(O)OC(=O)O)(O)O,222.034881912,7,5,-1.1159999999999997,True,False,"['[1*]C(=O)O', '[3*]OC(O)=NC(O)(O)N=NN=NN']"
N#CN(N=O)C(OC(=O)N)(N)ON(O)O,222.034881912,10,4,-1.87182,True,False,"['[3*]OC(N)(ON(O)O)N(C#N)N=O', '[1*]C(N)=O']"
N#CN(N=O)C(OC(O)=N)(O)NN(O)O,222.034881912,10,6,-1.85115,True,False,['N#CN(N=O)C(O)(NN(O)O)OC(=N)O']
NC(=O)OC(N=NN1C(N=N1)(O)O)(O)O,222.034881912,10,5,-2.6765,True,False,"['[3*]OC(O)(O)N=NN1N=NC1(O)O', '[1*]C(N)=O']"
N=NN1C(N=N1)(O)OC(NC(=O)O)(O)O,222.03488191200003,9,6,-1.90113,True,False,"['[1*]C(=O)O', '[3*]OC(O)(O)N[5*]', '[13*]C1(O)N=NN1N=N']"
