,HBA,HBD,LogP
count,949.0,949.0,949.0
mean,2.9726027397260273,1.0769230769230769,-0.05081165437302427
std,0.16332409094946498,0.8289237438935638,0.6314803131103051
min,2.0,0.0,-1.9173
25%,3.0,0.0,-0.4871
50%,3.0,1.0,0.0156999999999998
75%,3.0,2.0,0.4124
max,3.0,3.0,1.2713
