SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
CC(=C)OOCO,104.047344116,3,1,0.418,True,False,False,"Geminal diol/triol, Enol"
CC(C)OOC=O,104.047344116,3,0,0.4994,True,False,True,
CC(=O)COCO,104.047344116,3,1,-0.4581999999999999,True,False,False,Geminal diol/triol
C=C(O)COCO,104.047344116,3,2,0.024499999999999966,True,False,False,"Geminal diol/triol, Enol"
CC(O)=COCO,104.047344116,3,2,0.37209999999999993,True,False,False,"Geminal diol/triol, Enol"
CC(O)COC=O,104.047344116,3,1,-0.4598,True,False,True,
OC1(O)OCC1C,104.04734411599999,3,2,-0.7089000000000001,True,False,False,Geminal diol/triol
CC1(O)OCC1O,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OC1(O)CCC1O,104.047344116,3,3,-1.1780000000000002,True,False,False,Geminal diol/triol
CC1(O)OOC1C,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
OC1(O)COC1C,104.04734411599999,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC1(C)OOC1O,104.047344116,3,1,0.04519999999999996,True,False,False,Geminal diol/triol
CC1(O)COC1O,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OCC1C(O)(O)C1,104.047344116,3,3,-1.3205000000000002,True,False,False,Geminal diol/triol
OCC1C(C)(O)O1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CCC1C(O)(O)O1,104.047344116,3,2,-0.5664,True,False,False,Geminal diol/triol
OOC1C(C)(O)C1,104.047344116,3,2,-0.0007000000000000339,True,False,True,
COC1C(O)(O)C1,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OOC1C(C)(C)O1,104.047344116,3,1,0.6109,True,False,False,Geminal diol/triol
COC1C(C)(O)O1,104.047344116,3,1,-0.30239999999999995,True,False,False,Geminal diol/triol
CC1(O)OCCO1,104.047344116,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
OC1(O)OCCC1,104.04734411599999,3,2,-0.5648000000000002,True,False,False,Geminal diol/triol
CC1(O)COOC1,104.047344116,3,1,-0.30079999999999996,True,False,True,
CC1(O)CCOO1,104.047344116,3,1,0.04680000000000001,True,False,False,Geminal diol/triol
OC1(O)CCOC1,104.047344116,3,2,-0.9124000000000001,True,False,False,Geminal diol/triol
CC1(C)OOOC1,104.047344116,3,0,0.6584,True,False,True,
CC1(C)OCOO1,104.047344116,3,0,0.6584,True,False,False,Geminal diol/triol
CC1(O)OCOC1,104.047344116,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
OC1C(C1O)(O)C,104.047344116,3,3,-1.5272000000000003,True,False,True,
