SMILES,MW,HBA,HBD,LogP,Valid,Error
C#COC(C)(O)O,102.031694052,3,2,-0.748,True,False
O=C=CC(C)(O)O,102.031694052,3,2,-0.925,True,False
OC#CC(C)(O)O,102.031694052,3,3,-0.9794,True,False
C=C=CC(O)(O)O,102.031694052,3,3,-1.0418000000000003,True,False
C#CCC(O)(O)O,102.031694052,3,3,-1.3596000000000001,True,False
CC#CC(O)(O)O,102.031694052,3,3,-1.3596000000000001,True,False
CC(=O)OC(=O)C,102.031694052,3,0,0.09599999999999997,True,False
C=C(O)OC(=O)C,102.031694052,3,1,0.5787,True,False
C=C(O)OC(O)=C,102.031694052,3,2,1.0614,True,False
CC(=C)OC(=O)O,102.031694052,2,1,1.2146,True,False
CC(=O)CC(=O)O,102.031694052,2,1,0.05009999999999998,True,False
C=C(O)CC(=O)O,102.031694052,2,2,0.5327999999999999,True,False
CC(O)=CC(=O)O,102.031694052,2,2,0.5327999999999999,True,False
CC(=O)C=C(O)O,102.031694052,3,2,0.5327999999999999,True,False
C=C(O)C=C(O)O,102.031694052,3,3,1.0154999999999998,True,False
CC(O)=C=C(O)O,102.031694052,3,3,1.0045,True,False
O=C1OC(O1)(C)C,102.03169405199999,3,0,0.8893,True,False
C=C1OC(O1)(O)C,102.031694052,3,1,0.17039999999999994,True,False
O=C1OC(C1)(O)C,102.031694052,3,1,-0.3582000000000001,True,False
OC=1OC(C1)(O)C,102.031694052,3,2,0.12449999999999994,True,False
C=C1OC(C1)(O)O,102.031694052,3,2,-0.44120000000000004,True,False
CC=1OC(C1)(O)O,102.031694052,3,2,-0.44120000000000004,True,False
O=C1CC(C1)(O)O,102.031694052,3,2,-0.9698,True,False
OC1=CC(C1)(O)O,102.031694052,3,3,-0.48710000000000003,True,False
CC12OC(O2)(C)O1,102.031694052,3,0,0.41079999999999994,True,False
CC12OC(C2)(O)O1,102.031694052,3,1,-0.20080000000000003,True,False
OC12OC(C2)(O)C1,102.031694052,3,2,-0.8124,True,False
OC(C#C)(O)OC,102.031694052,3,2,-1.0956000000000001,True,False
CC(C#C)(O)OO,102.031694052,3,2,-0.18230000000000002,True,False
OC(C=C)(O)C=O,102.031694052,3,2,-0.9478000000000002,True,False
OC(C#C)(O)CO,102.031694052,3,3,-1.7072,True,False
CC(C=O)(O)C=O,102.031694052,3,1,-0.8648,True,False
OC(=O)C=COC,102.031694052,2,1,0.23110000000000003,True,False
OC(O)=C=COC,102.031694052,3,2,0.7028,True,False
OC(O)C#COC,102.031694052,3,2,-1.0956000000000001,True,False
OC(=O)OC=CC,102.03169405199999,2,1,1.2146,True,False
OC(=O)OCC=C,102.03169405199999,2,1,0.867,True,False
OC(O)OC=C=C,102.03169405199999,3,2,-0.43020000000000014,True,False
