,HBA,HBD,LogP
count,10000.0,10000.0,10000.0
mean,9.97,5.1948,-2.3513312550000003
std,1.5482699099224906,0.6847626230928485,0.7727862057531922
min,5.0,3.0,-5.898299999999997
25%,9.0,5.0,-2.8431
50%,10.0,5.0,-2.3716000000000004
75%,11.0,6.0,-1.86376
max,12.0,6.0,0.1395400000000002
