,HBA,HBD,LogP
count,88.0,88.0,88.0
mean,3.0,1.6022727272727273,-0.09429659090909094
std,0.0,0.8780827171162314,0.6749126971978074
min,3.0,0.0,-1.4205000000000003
25%,3.0,1.0,-0.6664000000000001
50%,3.0,2.0,-0.0547999999999999
75%,3.0,2.0,0.3334
max,3.0,3.0,1.2077
