,HBA,HBD,LogP
count,425.0,425.0,425.0
mean,2.976470588235294,1.3223529411764705,-0.021912235294117687
std,0.15175627401746064,0.8589671933721789,0.6568555581945521
min,2.0,0.0,-1.6697
25%,3.0,1.0,-0.5428000000000002
50%,3.0,1.0,0.0244999999999999
75%,3.0,2.0,0.4534999999999999
max,3.0,3.0,1.3313
