SMILES,MW,HBA,HBD,LogP,Valid,Error
OC(=O)OC1(O)NC(N=NN=NN1)(O)O,222.034881912,11,6,-2.1923000000000004,False,False
O=NN=NOC(OC1(N)OC(=O)O1)(N)N,222.034881912,10,3,-1.6662999999999997,True,False
O=NNN=NC(NC1(O)OC(=O)O1)(O)N,222.034881912,11,5,-2.4531,True,False
N#CON=NC(OC1(N)ON(O)N1)(O)O,222.034881912,12,5,-2.82522,True,False
NC(OC(O)(O)O)=NC1(O)ON=NN=N1,222.034881912,11,5,-2.725899999999999,True,False
O=NN=NNC1(O)N=C(O)N1C(O)(O)O,222.034881912,8,6,-2.9539999999999997,True,False
N#CN(N=N)C1(O)ON(NC(O)(O)O)O1,222.034881912,11,6,-3.4093500000000003,False,False
O=NN=NNC1(N)OC(OC(O)(O)O)=N1,222.034881912,9,5,-2.8144,True,False
O=NN=NNC1(N)OC(NC(=O)O1)(O)O,222.034881912,8,5,-2.4531000000000005,True,False
ON=NN=NC1(O)OC(OC(=O)O1)(N)N,222.034881912,9,4,-1.4893,True,False
O=NON=NC1(O)OC(N=C(O)N1)(O)N,222.034881912,11,5,-2.2487000000000004,True,False
N#CNN=NC1(O)OC(NN(O)O1)(O)O,222.034881912,11,6,-3.21862,False,False
N#CON=NC1(N)OC(ON(O)O)(O)N1,222.034881912,12,5,-2.34332,True,False
O=C=NN=NC1(O)OC(NN(O)N)(O)O1,222.034881912,11,5,-2.9871000000000003,True,False
OC(=O)NC1(ON=NN=N1)NC(O)(O)O,222.034881912,10,6,-2.1923000000000004,True,False
N#CN(N=O)C1(ON(O)O1)OC(N)(O)N,222.034881912,11,4,-2.83222,True,False
O=NON=NC1(OC(=O)O1)NC(N)(O)N,222.034881912,12,4,-2.0597,True,False
N=NON=NC1(OC(=O)O1)NC(N)(O)O,222.034881912,12,5,-1.76153,True,False
N=NN=NOC1(OC(=O)O1)NC(N)(O)O,222.034881912,10,5,-1.76153,True,False
ON=NN=NC1(OC(=N)O1)NC(O)(O)O,222.034881912,9,6,-2.03433,True,False
N=NN=NOC1(OC(O)=N1)NC(O)(O)O,222.034881912,9,6,-1.95053,True,False
O=NNN=NC1(NC(=O)N1)OC(O)(O)O,222.034881912,9,6,-2.8465000000000003,True,False
N=NON=NC1(OC(=O)O)OC(N1)(O)N,222.034881912,11,5,-1.1958300000000004,True,False
O=NN=NNC1(NC(=O)O)OC(O1)(O)N,222.034881912,7,5,-1.8874,True,False
N=NNN=NC1(OC(=O)N)OC(O1)(O)O,222.03488191200003,10,5,-1.76153,True,False
N=NN1C2(O)OC(N2C(N=N1)(O)O)(O)O,222.034881912,11,6,-3.2572300000000003,False,False
O=NN(N=O)C1(N)NC2(O)OC(O1)(N)O2,222.034881912,11,4,-2.9386,True,False
O=NN1C(NC2(N=N1)OC(O2)(O)O)(O)N,222.034881912,11,5,-3.2435000000000005,True,False
NC12NC(N=NON=NC(O2)(O)O1)(O)O,222.034881912,12,5,-2.8431,True,False
OC1(O)NC2(N1)OC(ON=NN=N2)(O)O,222.034881912,12,6,-3.2364999999999995,False,False
N=NN=NOC(NC12OC(O2)(N)O1)(O)O,222.034881912,10,5,-2.2400300000000004,True,False
N=NN=NOC(OC12OC(N2)(N)O1)(O)O,222.034881912,10,5,-2.2400300000000004,True,False
NC1(O)OC2(O)OC(NN=NN=N2)(O)O1,222.034881912,12,5,-2.8430999999999993,True,False
O=NN=NOC1(N)OC2(O)NC(N12)(O)O,222.034881912,10,5,-3.2434999999999996,True,False
N=NN=NOC1(N)OC2(O)OC(N12)(O)O,222.034881912,10,5,-2.55193,True,False
N=NON=NC1(N)OC2(OC(O2)(O)O)N1,222.034881912,12,5,-2.2400300000000004,True,False
O=NN=NNC1(O)OC2(OC(O2)(O)N)N1,222.034881912,9,5,-2.9316000000000004,True,False
N=NNN=NC1(O)OC2(O)OC(O2)(N)O1,222.034881912,11,5,-2.2400300000000004,True,False
N=NON=NC1(O)OC2(O)NC(N2)(O)O1,222.034881912,12,6,-2.6334300000000006,False,False
O=NN=NNC12OC(N2C(N)(O)O)(O)O1,222.034881912,9,5,-3.2435,True,False
NC1(O)NC2(N=NON=N2)OC(O1)(O)O,222.034881912,12,5,-2.8430999999999993,True,False
O=NON=NC12OC(OC(O2)(N)O1)(N)N,222.034881912,12,3,-2.1448,True,False
O=NN=NOC12OC(NC(N2)(O)O1)(O)N,222.034881912,10,5,-2.9316000000000004,True,False
N=NN=NNC12OC(OC(N2)(O)O1)(O)O,222.03488191200003,9,6,-2.63343,True,False
O=C=NC(ON=NC(ON=O)(O)O)(N)N,222.034881912,12,4,-2.4714,True,False
O=NN(C(O)(O)O)C(OC#N)(N)N=NO,222.034881912,10,5,-2.5329199999999994,True,False
O=C=NC(N=NNC(O)(O)O)(O)N=NO,222.034881912,10,6,-2.6877999999999997,True,False
O=NNC(OC(N=C=O)(N)ON=N)(O)O,222.034881912,11,5,-2.2617299999999996,True,False
O=NOC(OC(N=C=N)(O)N=NO)(O)N,222.034881912,11,5,-1.5390300000000003,True,False
N=C=NC(N=NO)(ON=O)NC(O)(O)O,222.034881912,11,6,-1.93243,False,False
N#CNN1N=NN1C(OC(O)(O)O)(O)O,222.034881912,12,6,-4.738619999999999,False,False
N=NN(C(O)(O)O)C(OC1=NN=N1)(O)O,222.034881912,11,6,-2.8281300000000003,False,False
N#COC(NN1ON=N1)(N)OC(O)(O)O,222.034881912,12,5,-3.9129199999999997,True,False
O=NN1C(NC(N(N=O)C1=N)(O)O)(O)O,222.034881912,10,6,-3.31703,True,False
O=NN1C(N=C1ON=NC(O)(O)O)(O)N,222.034881912,11,5,-3.1263000000000005,True,False
O=NOC(=N)N=NN1C(NC1(O)O)(O)O,222.034881912,10,6,-2.91663,True,False
O=C1NN=NC(OC(NN=N1)(O)O)(O)O,222.034881912,10,6,-2.758,True,False
O=NN=C(N1C(N=N1)(O)N)OC(O)(O)O,222.034881912,10,5,-3.1263,True,False
O=NOC=1OC(OC(N=NN1)(O)O)(N)N,222.034881912,12,4,-2.4210000000000003,True,False
O=C=NN1NC(OC(ON=N1)(O)N)(O)O,222.034881912,12,5,-3.469,True,False
