,HBA,HBD,LogP
count,10000.0,10000.0,10000.0
mean,3.8978,2.4458,-0.37879997400000004
std,0.308811749241584,0.9502382097482328,0.6860207987446958
min,2.0,0.0,-2.344500000000001
25%,4.0,2.0,-0.8331
50%,4.0,2.0,-0.3788999999999998
75%,4.0,3.0,0.06769999999999973
max,4.0,4.0,2.1328000000000005
