Fragment,Count
[15*]C1C(=O)C=C1O,7
[15*]C1C(O)=C=C1O,7
[3*]OC1=CC(=C)O1,7
[4*]C([4*])(O)C#C,7
[15*]C1C(=O)OC1=O,7
[7*]C(O)C#CO,7
[1*]C(=O)CC#C,7
[7*]C(O)C=C=O,7
[1*]C(=O)C#CO,7
[3*]OC(O)=C=C=O,7
[3*]OC(=C)C#CO,7
[3*]OC#CC(=C)O,7
[1*]C(=O)C#CC,7
[3*]OC(O)=C=C=C,7
[3*]OC#CC(C)=O,7
[3*]OC#CC(=O)O,7
[7*]C1C2(O)CC1(O)O2,7
[1*]C(=O)C=C=C,7
[1*]C(=O)C=C=O,7
[4*]C1([15*])C#CC#C1,7
[3*]OC(C)=C=C=O,7
[3*]OC(O)=CC#C,7
[3*]OC(=C)OC#C,7
[3*]OC(=C)C=C=O,7
[4*]C1(C)C#CC1=O,7
[7*]C([8*])C(O)(O)O,7
[15*]C1C#CC1(O)O,7
[8*]C(O)(O)C#CC#C,7
[4*]C1(C)C#CO1,7
[7*]C(C)C#CC#C,7
[3*]OC(=C)O[3*],6
[4*]C(O)(C#C)C[7*],6
[8*]CC(C)(O)C#C,6
[7*]CC=O,6
[6*]C(=O)C=C=C=C,6
[6*]C(=O)C[7*],6
[6*]C(=O)C#CC=C,6
[3*]OC(O)(O)OC#C,6
[6*]C(=O)C#CC(=C)C,6
[7*]CC(O)(O)C[7*],6
[7*]CC([7*])C,6
[7*]CC#CC([7*])O,6
[8*]C(O)(O)C#CC=O,6
[8*]C(O)(O)C=C=C=O,6
[8*]C(O)(O)C(=O)C#C,6
[3*]OC#CC(O)(O)O,6
[8*]CC(O)(C#C)C#C,6
[4*]C1(C)OC(=O)O1,6
[8*]C(O)(C#C)C#C,6
[7*]C([8*])C(C)=O,6
[7*]C([8*])C(=C)O,6
[8*]C(O)C#CC#C,6
[7*]CC(=O)C#C,6
[3*]OC(=C)C#CC=C,5
[3*]OC(=C)C=C=C=C,5
[4*]C(C)(O)C[8*],5
[8*]C(C)(O)C(=O)C#C,5
[13*]C1(C)OC(O)(O)O1,5
[3*]OC1=CC(O)(O)C1,5
[13*]C1(O)CC(=O)O1,5
[13*]C1(O)C=C(O)O1,5
[15*]C1C(=C)OC1(O)O,5
[3*]OC(C)=C=CC#C,5
[7*]CC(O)O,5
[7*]C1C(=O)OC1(O)O,5
[15*]C1(O)C#CC(O)(O)C1,5
[13*]C1(C#C)OC(C)(O)O1,5
[13*]C1(C#C)CC(O)(O)O1,5
[8*]C(C)(O)C=C=C=O,5
[8*]C(O)(O)C=C=C=C,5
[8*]CC(O)(O)C=C=O,5
[13*]C1(C)C#CC(O)(O)O1,5
[8*]CC#CC(O)(O)O,5
[15*]C1C2(O)CC1(O)O2,5
[8*]C(O)(O)C#CC=C,5
[7*]CC([8*])(O)O,5
[8*]C(O)(O)C(=C)C#C,5
[15*]C1C(=O)CC1(O)O,5
[13*]C1(O)OC(C)(O)O1,5
[13*]C1(O)CC(O)(O)O1,5
[13*]C1(O)C#CC(C)(O)O1,5
[8*]C(C#C)C(O)(O)O,5
[15*]C1C2(C)OC1(O)O2,5
[8*]CC(O)(O)C#CO,5
[13*]C1(O)OC(C)(C#C)O1,5
[8*]C(C)(O)C#CC=O,5
[15*]C1C(O)=CC1(O)O,5
[3*]OC(C)=C=C=C=C,5
[8*]C(C)(O)C#C,5
[3*]OC1=CC(C)(O)O1,5
[7*]C(C)C,5
[13*]C1(O)OC(=C)O1,5
[4*]C([4*])(C#C)C#C,5
[15*]C1C(=O)OC1(C)O,5
[13*]C1(O)CC(O)(C#C)O1,5
[13*]C1(C)OC(O)(C#C)O1,5
[13*]C1(C)OC([13*])(O)O1,4
[15*]C1(C)C=C=C1,4
[13*]C1(C)OC(=O)C#CC1=O,4
[15*]C1(O)CC(=O)C1=C=C=O,4
[13*]C1(O)OC(=C)C1=C=C=O,4
[15*]C1(O)C=C(O)C1=C=C=O,4
[7*]C1C(=O)OC1([13*])O,4
[13*]C1(C)OC(=O)C1=C=C=O,4
[13*]C1(O)OC(=O)C1=C=C=C,4
[15*]C1(O)C=C(O)C#CC1=O,4
[7*]CC(C)(O)C=C=C=O,4
[7*]CC(O)(O)C=C=C=C,4
[7*]CC(C)(O)C#CC=O,4
